rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic
66,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666495800018,1666.6666666666667,1669.15234375,1669.0224609375,0.021665088832378387,0.0,0.08249999582767487,1.808326706290245,0.0,0.594867467880249,0.0,0.0,1666.6666495800018
67,0.050805325364239096,0.008504288505980284,0.0,0.10000000149011612,,True,False,False,1666.6666188240051,1666.6666666666667,1671.4287109375,1671.3489990234375,9.284356565331109e-06,0.07760701328516006,0.0,2.516964577138424,0.0,2.167520523071289,0.0,0.0,1666.6666188240051
68,0.008526999391625474,0.0,0.0,0.10000000149011612,,False,False,False,1666.666671514511,1666.6666666666667,1670.5087890625,1670.683837890625,8.524542499799281e-05,0.0,0.0,2.271449565887451,0.0,1.5706679821014404,0.0,0.0,1666.666671514511
69,0.017845633275213935,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666803359985,1666.6666666666667,1670.858154296875,1670.7412109375,7.040686614345759e-05,0.011409473605453968,0.34199999552220106,1.6804423928260803,0.0,2.1576220989227295,0.0,0.0,1666.6666803359985
70,0.014558616671806607,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666383743286,1666.6666666666667,1669.5889892578125,1669.3692626953125,0.0068188877776265144,0.09970486164093018,0.171999990940094,1.9133043885231018,0.0,0.7373416423797607,0.0,0.0,1666.6666383743286
71,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6665687561035,1666.6666666666667,1671.5562744140625,1671.76220703125,2.3419186163664563e-06,0.14649443328380585,0.8020000010728836,1.487673282623291,0.0,2.453537940979004,0.0,0.0,1666.6665687561035
72,0.03059045768565513,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666331291199,1666.6666666666667,1669.5631103515625,1669.636474609375,0.0027982385363429785,0.11683588474988937,0.2604999914765358,1.8181027472019196,0.0,0.7010385990142822,0.0,0.0,1666.6666331291199
73,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6665859222412,1666.6666666666667,1669.130859375,1669.1883544921875,0.01246249582618475,0.12783710658550262,0.0,1.774204209446907,0.0,0.5622321367263794,0.0,0.0,1666.6665859222412
74,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666593551636,1666.6666666666667,1670.6160888671875,1670.2296142578125,0.0003874601679854095,0.0,0.7804999947547913,2.6650325655937195,0.0,0.503896951675415,0.0,0.0,1666.6666593551636
75,0.007337617140219521,0.0,0.0,0.10000000149011612,,False,False,False,1666.666585445404,1666.6666666666667,1671.8836669921875,1672.1007080078125,7.577774567835149e-07,0.012608933262526989,0.98299999255687,1.6845699548721313,0.0,2.536902666091919,0.0,0.0,1666.666585445404
76,0.02549450121690208,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666550636292,1666.6666666666667,1671.563720703125,1671.28076171875,1.1655623893602751e-05,0.03607187420129776,0.0,2.7183140739798546,0.0,2.1426796913146973,0.0,0.0,1666.6666550636292
77,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666574716568,1666.6666666666667,1669.5997314453125,1669.71435546875,0.0021584429778158665,0.06387843936681747,0.7744999900460243,1.4443316459655762,0.0,0.6504466533660889,0.0,0.0,1666.666574716568
78,0.017266447410381032,0.0,0.0,0.10000000149011612,,False,False,False,1666.666621685028,1666.6666666666667,1671.5106201171875,1671.538330078125,4.939318387187086e-06,0.010747909545898438,0.0,2.1099445819854736,0.0,2.7233059406280518,0.0,0.0,1666.666621685028
79,0.022945617970256994,0.0,0.0,0.10000000149011612,,False,False,False,1666.6665687561035,1666.6666666666667,1669.1981201171875,1669.3175048828125,0.00810290314257145,0.1701483577489853,0.0,1.7264323383569717,0.0,0.6349706649780273,0.0,0.0,1666.6665687561035
80,0.02539509540044856,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666288375854,1666.6666666666667,1669.6666259765625,1669.580810546875,0.003368734149262309,0.3321073055267334,0.0,1.8248567581176758,0.0,0.8430330753326416,0.0,0.0,1666.6666288375854
81,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666173934937,1666.6666666666667,1671.6043701171875,1671.93359375,1.3227083854872035e-06,0.09514665603637695,0.7764999866485596,1.635115385055542,0.0,2.430990695953369,0.0,0.0,1666.6666173934937
82,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666578054428,1666.6666666666667,1669.5565185546875,1669.552001953125,0.003708270378410816,0.011923742480576038,0.0,2.0930841444060206,0.0,0.7849326133728027,0.0,0.0,1666.666578054428
83,0.03837064904964197,0.008370646089493934,0.0,0.10000000149011612,,False,False,False,1666.666642665863,1666.6666666666667,1670.26220703125,1670.318603515625,0.0002880062675103545,0.05095217376947403,0.7694999799132347,1.8773167729377747,0.0,0.8977954387664795,0.0,0.0,1666.666642665863
84,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6665997505188,1666.6666666666667,1670.6357421875,1670.8394775390625,5.074106957181357e-05,0.015780020505189896,0.0884999968111515,1.6478669419884682,0.0,2.2169954776763916,0.0,0.0,1666.6665997505188
85,0.01746727955378963,0.0,0.0,0.10000000149011612,,False,False,False,1666.666684627533,1666.6666666666667,1669.2088623046875,1669.4444580078125,0.005307098384946585,0.03272752836346626,0.17100000008940697,1.7515700608491898,0.0,0.586880087852478,0.0,0.0,1666.666684627533
86,0.05867275246385549,0.02867274950370647,0.0,0.10000000149011612,,True,False,False,1666.6665949821472,1666.6666666666667,1669.5672607421875,1669.5194091796875,0.004133845679461956,0.0,0.0,2.2314209938049316,0.0,0.6692447662353516,0.0,0.0,1666.6665949821472
87,0.051827057286896405,0.009441291063523316,0.0,0.10000000149011612,,True,False,False,1666.666671514511,1666.6666666666667,1669.1539306640625,1669.198486328125,0.012048629112541676,0.07936489582061768,0.0,1.6332006454467773,0.0,0.7746936082839966,0.0,0.0,1666.666671514511
88,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666431427002,1666.6666666666667,1671.033203125,1670.81591796875,5.4886495490791276e-05,0.0,0.0,2.446610927581787,0.0,1.9199490547180176,0.0,0.0,1666.6666431427002
89,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.6666564941406,1666.6666666666667,2171.44189453125,2171.7451171875,0.0,0.025499796494841576,499.99998238123953,1.930145263671875,0.0,2.819610595703125,0.0,0.0,1666.6666564941406
90,0.044745308131927786,0.002331309018091865,0.0,0.10000000149011612,,False,False,False,1666.6665811538696,1666.6666666666667,1672.575439453125,1672.6473388671875,1.2252148451352696e-07,0.14329929649829865,0.0,2.525940701365471,0.0,3.2396183013916016,0.0,0.0,1666.6665811538696
91,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666662454605,1666.6666666666667,1669.798095703125,1669.652099609375,0.002656226744875312,0.04732565954327583,0.0,2.1147005073726177,0.0,0.9694070816040039,0.0,0.0,1666.666662454605
92,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.6666870117188,1666.6666666666667,2169.346923828125,2169.242431640625,0.0,0.0018682718509808183,499.99999330041464,1.868194580078125,0.0,0.8101806640625,0.0,0.0,1666.6666870117188
93,7.118054192378764e-05,0.0,0.0,0.10000000149011612,,False,False,False,1666.666612148285,1666.6666666666667,1670.11962890625,1670.0147705078125,0.0007929491112008691,0.0107665304094553,0.0,2.202014183625579,0.0,1.2402360439300537,0.0,0.0,1666.666612148285
94,0.06836146558932585,0.03407693588451455,0.0,0.10000000149011612,,True,False,False,1666.666633605957,1666.6666666666667,1669.4434814453125,1669.4185791015625,0.0057852319441735744,0.03543555736541748,0.0,1.895696997642517,0.0,0.8457152843475342,0.0,0.0,1666.666633605957
95,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666622161865,1666.6666666666667,1672.739013671875,1672.97021484375,4.176394341470768e-08,0.0018085718620568514,2.3044999360572547,1.4559168815612793,0.0,2.3101260662078857,0.0,0.0,1666.6666622161865
96,0.013118844066475788,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666634082794,1666.6666666666667,1670.2784423828125,1669.9918212890625,0.0008559880079701543,0.015125155448913574,0.0,2.3146923780441284,0.0,1.281961441040039,0.0,0.0,1666.6666634082794
97,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.6666259765625,1666.6666666666667,2169.10400390625,2169.198486328125,0.0,0.01665670983493328,499.9999753702432,1.587249755859375,0.0,0.83349609375,0.0,0.0,1666.6666259765625
98,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666555404663,1666.6666666666667,1669.8160400390625,1670.1046142578125,0.0005877373041585088,0.07463481277227402,0.7969999685883522,1.7385420203208923,0.0,0.5392076969146729,0.0,0.0,1666.6666555404663
99,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.66659116745,1666.6666666666667,1670.540283203125,1670.4049072265625,0.00021600541367661208,0.06117136403918266,0.0,2.282681155949831,0.0,1.5298395156860352,0.0,0.0,1666.66659116745
100,0.031236720123337117,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666474342346,1666.6666666666667,1670.593017578125,1670.4273681640625,0.0002004236594075337,0.02959606610238552,0.0,2.5104356054216623,0.0,1.386338472366333,0.0,0.0,1666.6666474342346
101,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666665315628,1666.6666666666667,1669.112548828125,1669.4014892578125,0.006124361418187618,0.01805741898715496,0.08349999971687794,1.7688940316438675,0.0,0.5754320621490479,0.0,0.0,1666.666665315628
102,0.0010442822503140547,0.0,0.0,0.10000000149011612,,False,False,False,1666.666631937027,1666.6666666666667,1669.3861083984375,1669.4674072265625,0.004916259553283453,0.09394796192646027,0.16500000655651093,1.744731068611145,0.0,0.7157974243164062,0.0,0.0,1666.666631937027
