rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic,uniform_center_overlap_fraction
137,0.1963618462344998,0.15487896859686412,0.0,0.9000000134110451,0.7000000104308128,True,False,False,1666.6665921211243,1666.6666666666667,1671.86279296875,1671.757568359375,0.0,0.0,0.0,1.7868949174880981,3.4093059301376343,0.0,0.0,0.0,1666.6665921211243,0.0
138,0.2414967328099478,0.21149672984979906,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6665925979614,1666.6666666666667,1673.15283203125,1673.051513671875,0.0,0.0,0.0,1.73503577709198,4.751203656196594,0.0,0.0,0.0,1666.6665925979614,0.0
139,0.17811580901326143,0.1391899054569322,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.7163171768188,1666.7163020286096,1671.983642578125,1672.0872802734375,0.0,0.0,0.0,1.489884376525879,3.7774410247802734,0.0,0.0,0.0,1666.7163171768188,2.9781217165704505e-05
140,0.25612718577489313,0.2194046176637725,0.0,0.6000000089406967,0.5000000074505806,True,False,False,1666.6793699264526,1666.6792947499757,1671.932861328125,1672.0595703125,0.0,0.06219170242547989,0.0,1.4250942692160606,3.7662054300308228,0.0,0.0,0.0,1666.6793699264526,7.576849985421789e-06
141,0.2865913004940295,0.2565912975338801,0.0,0.6000000089406967,0.4000000059604645,True,False,False,1666.7245154380798,1666.7244892208628,1672.527587890625,1672.625244140625,0.0,0.0,0.0,1.323725938796997,4.479346513748169,0.0,0.0,0.0,1666.7245154380798,3.469353251757375e-05
142,0.1999113013473449,0.16991129838719596,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666650772095,1666.6666666666667,1672.3497314453125,1672.40185546875,0.0,0.020804405212402344,0.0,1.0665572881698608,4.595704674720764,0.0,0.0,0.0,1666.6666650772095,0.0
143,0.4807050724120634,0.4467987524054209,0.046568375435291076,,,True,True,False,0.0,0.0,6.859529972076416,6.719613075256348,0.0010997962672263384,0.0,0.0,2.3474533557891846,4.5120766162872314,0.0,0.0,0.0,0.0,0.0
144,0.1778774369106174,0.14787743395046826,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.8454966545105,1666.8454405929294,1672.2164306640625,1672.353271484375,0.0,0.0,0.0,1.1477735042572021,4.2231605052948,0.0,0.0,0.0,1666.8454966545105,0.00010726435575764708
145,0.25216400359422675,0.21038477937502797,0.0,0.800000011920929,0.6000000089406967,True,False,False,1666.6665930747986,1666.6666666666667,1671.6385498046875,1671.630859375,0.0,0.0,0.0,1.5042566061019897,3.4677001237869263,0.0,0.0,0.0,1666.6665930747986,0.0
146,0.0931089738317521,0.05564334850557362,0.0,0.5000000074505806,0.30000000447034836,True,False,False,1666.6685981750488,1666.6686384660682,1672.1488037109375,1672.1602783203125,0.0,0.006296944804489613,0.0,1.3593857763335109,4.114522814750671,0.0,0.0,0.0,1666.6685981750488,1.1830796408539295e-06
147,0.24713291661519232,0.20808550289580818,0.0,0.800000011920929,0.6000000089406967,True,False,False,1666.6665921211243,1666.6666666666667,1672.3211669921875,1672.4405517578125,0.0,0.0,0.0,1.6924495697021484,3.962125301361084,0.0,0.0,0.0,1666.6665921211243,0.0
148,0.20593137785940466,0.1708743004485301,0.0,0.30000000447034836,0.20000000298023224,True,False,False,1666.7171816825867,1666.7172156192194,1671.9998779296875,1672.0570068359375,0.0,0.0,0.0,1.3401813507080078,3.9425148963928223,0.0,0.0,0.0,1666.7171816825867,3.032937153160693e-05
149,0.385519790217075,0.35425889723405796,0.0,0.800000011920929,,True,False,False,1666.6666765213013,1666.6666666666667,1672.967529296875,1672.8619384765625,0.0,0.0,0.0,1.8874077796936035,4.413444995880127,0.0,0.0,0.0,1666.6666765213013,0.0
150,0.14647392875491796,0.11142169818942808,0.0,0.800000011920929,,True,False,False,1666.6666069030762,1666.6666666666667,1671.6884765625,1671.7496337890625,0.0,0.0,0.0,1.5556141138076782,3.46625554561615,0.0,0.0,0.0,1666.6666069030762,0.0
151,0.4198896930025231,0.3799936603120966,0.0,0.800000011920929,,True,False,False,1666.6666836738586,1666.6666666666667,1672.4351806640625,1672.3145751953125,0.0,0.0,0.0,2.0402169227600098,3.7282800674438477,0.0,0.0,0.0,1666.6666836738586,0.0
152,0.22953791463156747,0.1888199793536911,0.04031972919384557,,,True,True,False,0.0,0.0,6.083635330200195,6.250677108764648,0.005250088404864073,0.0,0.0,1.9625064134597778,4.1211289167404175,0.0,0.0,0.0,0.0,0.0
153,0.27784089067664125,0.2478408877164928,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.666639328003,1666.6666666666667,1672.7174072265625,1672.754638671875,0.0,0.0,0.0,1.368841290473938,4.681926608085632,0.0,0.0,0.0,1666.666639328003,0.0
154,0.24617094624691482,0.20491276733217134,0.048624505318105415,,,True,True,False,0.0,0.0,6.507122993469238,6.489197254180908,0.002370682777836919,0.0,0.0,2.351943016052246,4.155179977416992,0.0,0.0,0.0,0.0,0.0
155,0.244201029606808,0.20291837463129525,0.0,0.800000011920929,,True,False,False,1666.66659450531,1666.6666666666667,1671.815673828125,1671.9024658203125,0.0,0.0,0.0,1.5764200687408447,3.5726592540740967,0.0,0.0,0.0,1666.66659450531,0.0
156,0.1335581748511636,0.09178379765366707,0.01562171051985638,,0.9000000134110451,True,False,False,0.5,0.5,6.376511573791504,6.427936553955078,0.002907751826569438,0.0,0.0,2.2037081718444824,3.6728034019470215,0.0,0.0,0.0,0.5,0.0
157,0.21339644783312917,0.17515803609300207,0.0,0.9000000134110451,,True,False,False,1666.6665949821472,1666.6666666666667,1672.6640625,1672.6866455078125,0.0,0.0,0.0,2.1479403972625732,3.84952712059021,0.0,0.0,0.0,1666.6665949821472,0.0
158,0.24052504864448318,0.2038619321602061,0.0,0.800000011920929,,True,False,False,1666.6666145324707,1666.6666666666667,1672.9202880859375,1672.755859375,0.0,0.009602928534150124,0.0,1.4755786415189505,4.768491983413696,0.0,0.0,0.0,1666.6666145324707,0.0
159,0.1704306784138545,0.12840283855879253,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.6665692329407,1666.6666666666667,1672.0589599609375,1672.0499267578125,0.0,0.0,0.0,1.7319989204406738,3.6603918075561523,0.0,0.0,0.0,1666.6665692329407,0.0
160,0.20739499947132423,0.17344884093731494,0.0,0.800000011920929,,True,False,False,1666.6823315620422,1666.6824163867693,1672.3099365234375,1672.2760009765625,0.0,0.0,0.0,1.4479219913482666,4.179682970046997,0.0,0.0,0.0,1666.6823315620422,9.449832061601516e-06
161,0.08146854753645351,0.05146854457630556,0.0,0.9000000134110451,,True,False,False,1666.6665773391724,1666.6666666666667,1672.42236328125,1672.536376953125,0.0,0.0,0.0,1.5262223482131958,4.229563593864441,0.0,0.0,0.0,1666.6665773391724,0.0
162,0.36863240764683436,0.3318831213298008,0.01064920713393211,,0.9000000134110451,True,False,False,0.5,0.5,6.311337471008301,6.246003150939941,0.005332524888217449,0.0,0.0,1.7763848304748535,4.034952640533447,0.0,0.0,0.0,0.5,0.0
163,0.20343696231640518,0.17041650198732583,0.03138579391599663,,,True,True,False,0.0,0.0,6.470547199249268,6.447839260101318,0.0027211045380681753,0.0,0.0,2.001434087753296,4.469113111495972,0.0,0.0,0.0,0.0,0.0
164,0.012790276494971997,0.0,0.05029183150082566,,,False,True,False,0.0,0.0,5.9772257804870605,6.064875602722168,0.009753081947565079,0.0,0.0,1.9865355491638184,3.990690231323242,0.0,0.0,0.0,0.0,0.0
165,0.05470855871325331,0.024708555753104714,0.04600953798569995,,,True,True,False,0.0,0.0,6.073265075683594,6.251577377319336,0.005234357435256243,0.03429308161139488,0.0,1.6275503374636173,4.4114216566085815,0.0,0.0,0.0,0.0,0.0
166,0.30497763924120225,0.26482185265859215,0.0,0.9000000134110451,,True,False,False,1666.6666536331177,1666.6666666666667,1672.1094970703125,1672.0810546875,0.0,0.0,0.0,1.7378133535385132,3.705030083656311,0.0,0.0,0.0,1666.6666536331177,0.0
167,0.24955599884110313,0.21369823479981065,0.0,0.800000011920929,0.6000000089406967,True,False,False,1666.6666049957275,1666.6666666666667,1672.288330078125,1672.2186279296875,0.0,0.0,0.0,1.4986978769302368,4.123027205467224,0.0,0.0,0.0,1666.6666049957275,0.0
168,0.24830013318247876,0.20952384520298714,0.024920544274937256,,,True,True,False,0.0,0.0,5.619765758514404,5.697998523712158,0.033132243901491165,0.0,0.0,1.8371866941452026,3.7825790643692017,0.0,0.0,0.0,0.0,0.0
169,0.28137659956653543,0.25096694396467173,0.030830134119454372,,,True,True,False,0.0,0.0,5.9272541999816895,5.991857051849365,0.012440764345228672,0.0,0.0,1.6592367887496948,4.268017411231995,0.0,0.0,0.0,0.0,0.0
170,0.1822948618007506,0.15229485884060212,0.007885332809648461,,0.9000000134110451,True,False,False,0.5,0.5,6.579169750213623,6.498999118804932,0.002294477540999651,0.0,0.0,1.8056820631027222,4.273487687110901,0.0,0.0,0.0,0.5,0.0
171,0.221057797022306,0.1880392056311187,0.0,0.7000000104308128,0.5000000074505806,True,False,False,1666.6945509910583,1666.6945330205963,1672.4249267578125,1672.273193359375,0.0,0.0,0.0,1.1752302646636963,4.555145502090454,0.0,0.0,0.0,1666.6945509910583,1.671981235768555e-05
172,0.22059713108155835,0.19059712812140964,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.7434329986572,1666.743362680841,1672.26416015625,1672.3126220703125,0.0,0.0,0.0,1.2363958358764648,4.284331321716309,0.0,0.0,0.0,1666.7434329986572,4.601760850456483e-05
173,0.17633176380969676,0.1339053555723958,0.0,0.7000000104308128,,True,False,False,1666.7928891181946,1666.7928545383677,1672.41943359375,1672.455810546875,0.0,0.0,0.0,1.755383014678955,3.871161460876465,0.0,0.0,0.0,1666.7928891181946,7.571272302051451e-05
174,0.23559991857440457,0.1979959843692289,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666493415833,1666.6666666666667,1672.1861572265625,1672.19287109375,0.0,0.0,0.0,1.5672931671142578,3.9522147178649902,0.0,0.0,0.0,1666.6666493415833,0.0
175,0.3037536583507378,0.27375365539058966,0.0,0.9000000134110451,,True,False,False,1666.6666088104248,1666.6666666666667,1672.5899658203125,1672.5047607421875,0.0,0.0,0.0,1.5712707042694092,4.352086305618286,0.0,0.0,0.0,1666.6666088104248,0.0
176,0.45251552849524956,0.4214410355219796,0.0,0.7000000104308128,,True,False,False,1666.6685495376587,1666.6685668339514,1673.14990234375,1672.845703125,0.0,0.0,0.0,2.1800031661987305,4.301349639892578,0.0,0.0,0.0,1666.6685495376587,1.1401003708442104e-06
177,0.14962648606690576,0.10879208187204972,0.0,0.800000011920929,,True,False,False,1666.6665954589844,1666.6666666666667,1672.0531005859375,1672.12744140625,0.0,0.0,0.0,1.7620750665664673,3.6244300603866577,0.0,0.0,0.0,1666.6665954589844,0.0
